date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:05:15	11225/11225	---M-Z	200	added ('OK')	text/html	date:Fri,%2023%20Sep%202022%2020:05:15%20GMT	https://christmasexperiments.com/robots.txt		(from )
22:05:15	62362/62362	---M-Z	200	added ('OK')	text/html	date:Fri,%2023%20Sep%202022%2020:05:15%20GMT	https://christmasexperiments.com/2018/01/plume-and-the-forgotten-letter/	C:/Mes%20Sites%20Web/games/christmasexperiments.com/2018/01/plume-and-the-forgotten-letter/index.html	(from )
22:05:16	300/300	---MCZ	301	error ('Moved%20Permanently')	text/html	date:Fri,%2023%20Sep%202022%2020:05:16%20GMT	http://christmasexperiments.com/xps/2018/01/plume-and-the-forgotten-letter//facebook.jpg?v=3	C:/Mes%20Sites%20Web/games/christmasexperiments.com/xps/2018/01/plume-and-the-forgotten-letter/facebook.030f4.delayed	(from https://christmasexperiments.com/2018/01/plume-and-the-forgotten-letter/)
22:05:17	299/299	---MCZ	301	error ('Moved%20Permanently')	text/html	date:Fri,%2023%20Sep%202022%2020:05:17%20GMT	http://christmasexperiments.com/xps/2018/01/plume-and-the-forgotten-letter//twitter.jpg?v=3	C:/Mes%20Sites%20Web/games/christmasexperiments.com/xps/2018/01/plume-and-the-forgotten-letter/twitter.230f4.delayed	(from https://christmasexperiments.com/2018/01/plume-and-the-forgotten-letter/)
22:05:17	136911/136911	---M--	200	added ('OK')	image/jpeg	date:Mon,%2003%20Dec%202018%2013:26:43%20GMT	https://christmasexperiments.com/xps/2018/01/plume-and-the-forgotten-letter/facebook.jpg?v=3	C:/Mes%20Sites%20Web/games/christmasexperiments.com/xps/2018/01/plume-and-the-forgotten-letter/facebook30f4.jpg	(from https://christmasexperiments.com/2018/01/plume-and-the-forgotten-letter/)
22:05:19	257/257	---MCZ	301	error ('Moved%20Permanently')	text/html	date:Fri,%2023%20Sep%202022%2020:05:18%20GMT	http://christmasexperiments.com/css/main.css?v=3	C:/Mes%20Sites%20Web/games/christmasexperiments.com/css/main.430f4.delayed	(from https://christmasexperiments.com/2018/01/plume-and-the-forgotten-letter/)
22:05:19	90700/90700	---M--	200	added ('OK')	image/jpeg	date:Mon,%2003%20Dec%202018%2013:26:45%20GMT	https://christmasexperiments.com/xps/2018/01/plume-and-the-forgotten-letter/twitter.jpg?v=3	C:/Mes%20Sites%20Web/games/christmasexperiments.com/xps/2018/01/plume-and-the-forgotten-letter/twitter30f4.jpg	(from https://christmasexperiments.com/2018/01/plume-and-the-forgotten-letter/)
22:05:21	43290/43290	---MCZ	200	added ('OK')	text/css	date:Sat,%2001%20Dec%202018%2009:00:52%20GMT	https://christmasexperiments.com/css/main.css?v=3	C:/Mes%20Sites%20Web/games/christmasexperiments.com/css/main30f4.css	(from https://christmasexperiments.com/2018/01/plume-and-the-forgotten-letter/)
22:05:21	261/261	---MCZ	301	error ('Moved%20Permanently')	text/html	date:Fri,%2023%20Sep%202022%2020:05:20%20GMT	http://christmasexperiments.com/apple-touch-icon.png	C:/Mes%20Sites%20Web/games/christmasexperiments.com/apple-touch-icon.6.delayed	(from https://christmasexperiments.com/2018/01/plume-and-the-forgotten-letter/)
22:05:21	5299/5299	---M--	200	added ('OK')	image/png	date:Fri,%2001%20Dec%202017%2009:15:06%20GMT	https://christmasexperiments.com/apple-touch-icon.png	C:/Mes%20Sites%20Web/games/christmasexperiments.com/apple-touch-icon.png	(from https://christmasexperiments.com/2018/01/plume-and-the-forgotten-letter/)
